Year,Month,Day,Hour,DA ES
2023.0,1.0,27.0,23.0,74.89
2023.0,1.0,27.0,24.0,52.43
2023.0,1.0,28.0,1.0,40.0
2023.0,1.0,28.0,2.0,36.69
2023.0,1.0,28.0,3.0,36.69
2023.0,1.0,28.0,4.0,36.27
2023.0,1.0,28.0,5.0,35.94
2023.0,1.0,28.0,6.0,35.2
2023.0,1.0,28.0,7.0,36.27
2023.0,1.0,28.0,8.0,37.6
2023.0,1.0,28.0,9.0,42.74
2023.0,1.0,28.0,10.0,39.5
2023.0,1.0,28.0,11.0,34.8
2023.0,1.0,28.0,12.0,29.56
2023.0,1.0,28.0,13.0,24.47
2023.0,1.0,28.0,14.0,20.73
